MARRIED;NONWHITE;NORTHCEN;PROFSERV;SOUTH;TENURSQ;TRADE;WEST;FEMALE;EXPER;EDUC;WAGE
1;0;0;0;0;0;0;0;1;7;12;37500
1;0;0;1;0;361;0;0;0;24;13;119000
1;0;0;1;0;0;0;0;1;28;12;40000
0;0;0;0;0;1;1;0;1;2;12;31000
1;0;0;0;0;169;0;0;0;19;12;84500
1;0;0;1;0;0;0;0;0;13;18;71400
1;0;0;0;0;25;0;0;0;22;9;45000
0;0;0;0;0;1;0;0;0;3;16;46500
0;0;0;1;0;0;0;0;1;4;10;29000
0;0;0;0;0;25;0;0;0;7;12;66700
0;1;0;1;0;4;0;0;1;6;12;35000
1;0;0;0;0;9;1;0;1;13;12;32600
1;0;0;1;0;0;0;0;1;14;12;32500
0;0;0;1;0;16;0;0;1;14;12;80000
1;1;0;0;0;576;0;0;0;40;8;98500
1;0;0;0;0;49;0;0;0;11;12;75000
1;0;0;0;0;36;0;0;0;14;12;59100
1;0;0;0;0;1521;0;0;0;40;14;117600
0;0;0;0;0;0;1;0;1;1;12;30000
0;0;0;1;0;0;0;0;1;2;12;48100
0;0;0;1;0;1;0;0;1;4;12;65000
1;0;0;0;0;1;0;0;1;19;9;40000
0;0;0;0;0;0;0;0;0;1;13;35000
1;0;0;0;0;484;1;0;0;34;12;131600
1;0;0;0;0;4;1;0;0;5;14;42500
0;0;0;0;0;0;1;0;0;3;12;35000
0;0;0;0;0;36;0;0;1;6;15;51300
1;0;0;0;0;0;0;0;1;14;12;37500
1;0;0;1;0;144;0;0;1;35;12;45000
0;0;0;0;0;16;0;0;1;8;12;76300
1;1;0;0;0;49;0;0;0;7;14;150000
1;0;0;1;0;9;0;0;1;11;15;68500
1;0;0;0;0;121;1;0;0;14;12;133300
0;0;0;0;0;100;0;0;0;35;12;66700
0;0;0;0;0;0;1;0;1;46;12;25300
1;0;0;0;0;0;0;0;0;7;17;98000
1;0;0;0;0;144;1;0;0;45;11;33700
1;0;0;0;0;625;0;0;0;29;18;249800
1;0;0;0;0;9;0;0;0;6;12;54000
1;0;0;0;0;0;1;0;0;15;14;61100
1;0;0;1;0;256;0;0;1;33;14;42000
0;0;0;0;0;0;1;0;0;15;10;37500
1;0;0;1;1;0;0;0;1;5;14;35000
0;0;0;1;1;4;0;0;0;7;12;36400
1;0;0;0;1;1;1;0;0;6;15;38000
1;0;0;0;1;144;0;0;1;33;8;30000
1;0;0;0;1;1;1;0;1;2;16;50000
1;0;0;1;1;0;0;0;1;4;14;46300
0;0;0;0;1;0;1;0;0;1;15;30000
0;0;0;0;1;0;0;0;1;29;12;32000
1;0;0;1;1;9;0;0;0;17;18;39100
1;0;0;1;1;9;0;0;1;17;16;64300
1;0;0;0;1;9;0;0;1;36;10;54800
0;0;0;0;1;900;1;0;0;31;8;15000
0;0;0;1;1;4;0;0;1;23;10;29000
1;0;0;0;1;1;1;0;0;13;11;50000
1;0;0;0;1;9;1;0;0;3;18;89200
0;0;0;0;1;0;1;0;0;15;15;50000
1;0;0;1;1;1;0;0;0;48;12;35200
0;0;0;0;1;0;0;0;1;6;11;29000
1;0;0;0;1;0;1;0;0;12;12;45000
0;0;0;0;1;0;1;0;1;5;12;22500
1;0;0;0;1;25;1;0;0;19;14;50000
1;1;0;0;1;9;0;0;0;9;16;100000
1;0;0;1;1;169;0;0;0;39;2;37500
1;0;0;0;1;121;0;0;1;28;14;100000
1;0;0;0;1;400;0;0;0;23;16;109500
0;0;0;0;1;0;0;0;0;2;12;79000
0;0;0;0;1;1;0;0;1;15;12;47200
1;0;0;1;1;0;0;0;1;5;13;58400
0;0;0;0;1;4;0;0;1;18;12;38300
0;0;0;0;1;4;0;0;1;2;15;32000
0;1;0;0;1;0;1;0;1;3;10;20000
1;0;0;1;1;16;0;0;1;31;12;45000
1;0;0;0;1;25;0;0;1;20;16;115500
1;1;0;0;1;225;0;0;1;34;13;21400
0;1;0;0;1;0;0;0;0;5;9;23800
0;0;0;0;1;0;0;0;0;11;12;37500
0;0;0;0;1;9;1;0;0;31;13;55200
1;0;0;0;1;25;0;0;1;8;12;65000
0;0;0;0;1;4;0;0;1;2;12;31000
1;0;0;0;1;25;0;0;0;18;14;100000
1;0;0;1;1;0;0;0;0;3;16;66300
1;0;0;0;1;4;0;0;0;3;16;100000
0;0;1;0;0;1;1;0;1;4;9;23100
0;0;1;1;0;16;0;0;0;4;18;68800
0;0;1;0;0;0;1;0;0;1;10;28300
0;0;1;0;0;0;1;0;1;1;10;31300
1;0;1;0;0;25;0;0;0;28;13;80000
1;0;1;0;0;16;1;0;1;47;12;45000
0;0;1;0;0;1;0;0;1;13;18;86500
0;0;1;0;0;36;0;0;1;2;13;20000
1;0;1;1;0;4;0;0;1;48;12;47500
1;0;1;1;0;25;0;0;1;6;13;62500
1;0;1;1;0;0;0;0;0;8;13;60000
1;0;1;1;0;441;0;0;0;25;13;153800
0;0;1;1;0;49;0;0;1;13;18;145800
0;0;1;0;0;1;0;0;0;8;12;125000
1;0;1;0;0;100;0;0;1;19;12;52500
0;0;1;0;0;16;0;0;1;1;13;21700
0;0;1;0;0;25;0;0;1;43;12;71400
1;0;1;1;0;81;0;0;1;19;12;62200
1;0;1;1;0;25;0;0;1;11;12;90000
1;0;1;1;0;16;0;0;0;43;14;100000
1;0;1;1;0;9;0;0;0;44;10;57700
1;0;1;0;0;121;0;0;1;22;12;40000
1;0;1;0;0;4;0;0;0;3;16;87500
0;0;1;1;0;4;0;0;1;3;16;65300
0;0;1;1;0;121;0;0;1;41;12;76000
0;0;1;0;0;0;1;0;0;5;14;50000
0;0;1;1;0;121;0;0;1;14;12;50000
1;0;1;0;0;256;1;0;0;24;12;218600
1;0;1;0;0;64;0;0;0;28;12;86400
1;0;1;0;0;64;1;0;0;25;12;33000
0;0;1;0;0;0;1;0;0;3;12;44400
1;0;1;0;0;0;0;0;0;11;12;45500
1;1;1;0;0;36;0;0;1;7;12;35000
1;0;1;1;0;4;0;0;0;9;16;62500
1;0;1;0;0;0;1;0;0;5;16;38500
1;0;1;1;0;9;0;0;1;9;14;61800
0;0;1;0;0;0;0;0;1;1;11;29100
0;1;1;0;0;1;1;0;1;2;16;62500
1;0;1;1;0;0;0;0;1;13;12;62500
1;0;1;0;0;4;0;0;0;10;12;90500
1;0;1;0;0;9;0;0;0;5;17;100000
1;0;1;0;0;64;1;0;0;30;12;111100
1;0;1;1;0;361;0;0;0;31;12;68800
0;1;1;0;0;4;0;0;0;1;16;87500
1;0;1;0;0;0;0;0;0;9;8;100000
1;0;1;0;0;0;1;0;1;10;12;30500
1;0;1;0;0;0;0;0;1;38;12;30000
1;0;1;0;0;36;0;0;1;19;12;58000
1;0;1;1;0;0;0;0;1;5;16;41000
1;0;1;0;0;4;0;0;0;26;12;80000
0;0;1;0;0;144;1;0;1;35;12;61500
0;0;1;0;0;0;1;0;1;2;9;27000
0;0;1;1;0;4;0;0;1;1;13;27500
1;0;1;0;0;100;1;0;1;19;16;30000
0;0;1;1;0;4;0;0;1;3;14;30000
1;0;1;0;0;576;0;0;0;36;8;73600
1;0;1;0;0;576;0;0;0;29;14;75000
0;0;1;0;0;4;1;0;0;1;13;35000
1;0;1;1;0;9;0;0;1;38;12;81000
0;0;1;1;0;4;0;0;0;1;18;37500
1;1;1;0;0;0;0;0;0;29;9;32500
1;0;0;1;0;225;0;0;1;36;8;58300
0;0;0;0;0;0;1;0;0;4;8;35000
1;0;0;0;0;16;1;0;1;45;12;33300
0;0;0;0;0;9;0;0;1;22;14;40000
1;0;0;1;0;16;0;0;1;20;12;35000
1;0;0;0;0;0;0;0;0;5;16;62500
1;1;0;0;0;4;0;0;1;15;8;29500
1;0;0;0;0;4;1;0;1;10;13;57100
0;0;0;0;0;0;0;0;1;3;9;30000
1;0;0;0;0;49;0;0;0;16;16;228600
1;0;0;1;0;1;0;0;0;38;12;90000
1;0;0;1;0;676;0;0;0;33;15;83300
0;0;0;0;0;0;1;0;0;2;11;30000
1;0;0;0;0;25;1;0;0;6;14;57500
1;1;0;0;0;9;0;0;0;19;12;67600
1;0;0;1;0;0;0;0;0;29;12;100000
0;0;0;0;0;0;0;0;0;2;12;30000
0;0;0;0;0;1;0;0;1;3;18;35000
0;0;0;0;0;0;0;0;0;4;12;32500
0;1;0;1;0;1;0;0;1;10;12;40000
0;0;0;0;1;0;1;0;1;4;12;29200
0;1;0;0;1;100;1;0;1;14;12;30600
1;0;0;1;1;25;0;0;1;15;12;32000
1;0;0;0;1;0;0;0;0;19;12;47500
1;0;0;0;1;0;0;0;1;17;14;30000
1;0;0;0;1;49;0;0;0;29;16;181600
0;0;0;0;1;0;0;0;1;2;12;35000
0;0;0;1;1;0;0;0;0;5;14;41100
0;1;0;0;1;9;0;0;1;38;11;19600
0;0;0;0;1;0;1;0;1;3;12;42900
0;0;0;0;1;0;0;0;0;47;10;30000
1;0;0;0;1;36;1;0;0;7;12;64500
1;1;0;0;1;169;0;0;0;47;6;52000
0;1;0;0;1;4;1;0;1;23;13;45000
1;0;0;0;1;9;1;0;0;12;12;38800
0;0;0;0;1;0;1;0;1;11;10;34500
0;0;0;0;1;529;0;0;0;25;12;109100
1;0;0;0;1;0;0;0;1;6;14;41000
0;0;0;0;1;1;1;0;0;3;13;30000
1;1;0;0;1;49;0;0;0;14;12;59000
0;0;0;1;1;0;0;0;1;13;18;180000
0;0;0;1;1;0;0;0;0;9;12;40000
0;1;0;0;1;0;0;0;0;1;12;30000
1;0;0;0;0;0;0;0;1;6;12;35500
1;0;0;0;0;1;0;0;1;11;12;30000
1;0;0;0;0;1936;0;0;0;47;12;87500
0;0;0;0;0;36;0;0;1;49;8;29000
1;0;0;1;0;289;0;0;1;37;13;62600
0;0;0;0;0;0;1;0;1;2;13;35000
1;0;0;0;0;0;1;0;1;7;14;46000
0;0;0;0;0;64;1;0;0;22;12;60000
0;0;0;0;0;0;0;0;1;8;10;28900
1;0;0;1;0;1;0;0;0;1;16;55800
1;0;0;0;0;36;0;0;1;43;12;40000
0;0;0;0;0;4;0;0;0;2;16;60000
0;0;0;0;0;1;0;0;1;2;12;45000
0;0;0;1;0;9;0;0;0;1;14;29200
0;0;0;0;0;0;1;0;0;1;18;43300
1;0;0;1;0;400;0;0;0;26;17;188900
0;0;0;0;0;1;1;0;1;1;13;42800
1;0;0;0;0;49;0;0;1;37;14;45700
1;0;0;1;0;16;0;0;1;12;15;62500
1;1;1;1;0;529;0;0;0;41;14;29500
0;0;1;0;0;1;0;0;0;24;12;87500
0;0;1;0;0;676;0;0;0;38;8;85000
1;0;1;1;0;0;0;0;1;18;12;37500
1;0;1;0;0;1;1;0;0;26;12;31500
0;0;1;0;0;4;0;0;0;45;8;50000
1;0;1;0;0;0;0;0;0;27;12;64600
0;0;1;0;0;0;1;0;0;2;9;20000
1;0;1;0;0;64;1;0;0;41;12;47900
1;0;1;0;0;16;0;0;0;11;16;57800
1;0;1;1;0;0;0;0;1;5;12;31800
0;0;1;1;0;1;0;0;1;3;16;46800
0;0;1;1;0;4;0;0;1;3;12;41000
1;0;0;0;1;0;1;0;0;4;12;29100
1;0;0;0;1;169;0;0;0;21;13;60000
1;0;0;0;1;676;0;0;1;34;10;36000
1;0;0;0;1;36;0;0;0;49;6;39500
1;1;0;0;1;25;0;0;0;6;12;70000
1;0;0;0;1;81;0;0;1;26;12;30000
0;0;0;0;1;0;0;0;0;9;16;60800
1;0;0;0;1;81;0;0;0;23;12;86300
1;0;0;0;1;4;0;0;0;33;8;30000
1;0;0;1;1;4;0;0;1;5;12;37500
1;0;0;0;1;49;0;0;0;49;6;29000
1;1;0;0;1;0;0;0;0;48;4;30000
1;0;0;0;1;961;1;0;0;35;11;62500
0;1;0;0;1;4;0;0;1;23;11;35000
0;0;0;0;1;1;1;0;1;26;7;30000
1;0;0;0;1;0;1;0;1;16;12;32400
1;0;0;1;1;9;0;0;1;23;18;80200
1;0;0;1;1;64;0;0;1;36;12;33300
0;0;0;0;1;0;0;0;0;4;16;52500
1;0;0;0;1;0;0;0;0;10;12;62500
1;0;1;0;0;4;1;0;0;18;14;35000
0;0;1;0;0;1;1;0;0;3;12;29500
1;0;1;1;0;0;0;0;1;7;10;30000
0;0;1;0;0;49;0;0;0;7;10;46900
0;0;1;0;0;4;0;0;1;33;9;37300
1;0;1;0;0;144;0;0;0;34;10;40000
1;0;1;0;0;0;1;0;1;8;12;40000
1;0;1;0;0;1;0;0;1;17;12;29000
0;0;1;1;0;0;0;0;1;2;12;30500
0;0;1;1;0;0;0;0;1;5;10;50500
1;0;1;0;0;256;0;0;0;41;16;139500
1;0;1;0;0;784;0;0;0;35;16;181600
0;0;1;0;0;16;0;0;0;11;16;62500
0;1;1;0;0;0;0;0;0;4;12;52500
1;0;1;1;0;9;0;0;1;12;12;47900
0;0;0;0;1;0;0;0;1;35;7;33500
1;0;0;0;1;0;0;0;0;33;8;30000
1;0;0;0;1;36;0;0;0;8;16;84300
0;0;0;0;1;0;1;0;0;2;16;57000
1;0;0;0;1;100;0;0;0;8;18;119800
1;0;0;1;1;1;0;0;1;29;13;35000
1;1;0;0;1;25;1;0;0;14;10;42400
1;0;0;1;1;9;0;0;1;26;16;70000
1;0;0;1;1;9;0;0;1;11;14;60000
0;0;0;1;1;4;0;0;0;10;16;122200
1;0;0;0;1;0;1;0;0;13;12;45000
1;0;0;0;1;400;0;0;1;23;9;30000
0;1;0;0;1;4;1;0;0;1;11;29000
1;0;0;0;1;961;0;0;0;35;11;150000
1;0;0;0;1;4;0;0;0;5;12;40000
1;0;0;0;1;121;0;0;0;13;11;52500
1;0;0;0;1;9;0;0;0;22;12;40000
1;0;0;0;1;81;1;0;1;21;12;33000
1;0;0;1;1;0;0;0;1;19;12;50500
0;0;0;0;1;0;0;0;0;13;12;35800
1;0;0;0;1;25;1;0;0;15;14;50000
1;0;0;1;1;0;0;0;0;3;14;45700
0;0;0;0;1;4;0;0;0;6;18;125000
1;0;0;0;1;25;1;0;1;6;12;34500
0;0;0;1;1;1;0;0;1;16;12;46300
1;0;0;0;1;4;1;0;0;31;12;100000
0;0;1;0;0;0;1;0;1;1;11;29200
0;0;1;0;0;4;1;0;0;5;12;45100
1;0;1;1;0;0;0;0;0;3;17;65000
1;0;1;0;0;0;0;0;0;11;16;75000
1;0;1;1;0;49;0;0;1;6;13;35400
1;0;1;0;0;9;1;0;1;11;13;42000
1;0;1;0;0;4;1;0;1;7;12;35100
1;0;1;0;0;0;0;0;0;5;14;45000
1;0;1;0;0;16;1;0;1;5;14;33500
0;0;1;0;0;4;1;0;0;2;11;29100
1;0;1;0;0;49;0;0;0;44;10;52500
1;0;1;0;0;625;0;0;0;44;8;40500
1;0;1;0;0;0;1;0;1;13;14;37500
1;0;1;0;0;225;0;0;1;26;12;34000
0;0;0;0;1;1;1;0;1;2;10;30000
1;0;0;0;1;9;0;0;0;10;17;62900
0;0;0;0;1;0;1;0;1;2;9;25400
1;0;0;0;1;0;1;0;1;35;12;45000
1;0;0;1;1;25;0;0;1;6;12;31300
1;0;0;0;1;1;1;0;0;8;14;63600
0;0;0;0;1;0;0;0;0;1;16;46800
1;0;0;0;1;100;0;0;0;14;12;68000
1;0;0;0;1;36;0;0;0;14;10;85300
0;0;0;0;1;100;0;0;1;22;0;41700
1;0;0;0;1;16;0;0;1;8;14;37500
0;0;0;1;1;16;0;0;1;1;15;111000
1;1;0;0;1;25;1;0;1;15;16;32600
1;0;0;0;1;144;0;0;0;14;12;91300
1;0;0;0;1;100;0;0;0;37;11;45000
0;0;0;1;1;1;0;0;1;1;11;30000
1;0;0;1;1;16;0;0;0;4;12;87500
1;0;0;0;1;0;1;0;1;29;13;41400
1;0;1;0;0;64;1;0;1;45;12;28700
0;0;1;0;0;0;1;0;1;22;13;33500
0;0;1;0;0;100;1;0;0;42;16;60800
0;1;1;0;0;0;0;0;0;9;15;30000
1;0;1;1;0;0;0;0;1;8;16;42000
0;0;1;1;0;225;0;0;1;31;15;56000
1;0;1;0;0;576;0;0;0;24;12;100000
1;0;1;1;0;25;0;0;0;16;18;125000
0;0;0;0;1;0;0;0;0;6;6;37600
0;1;0;0;1;0;1;0;1;14;6;31000
1;0;0;0;1;625;0;0;1;47;12;42900
1;0;0;1;1;25;0;0;0;34;12;109200
1;0;0;1;1;4;0;0;1;6;16;75000
1;0;0;0;1;16;0;0;1;7;9;40500
1;0;0;0;1;4;0;0;0;27;12;46500
1;0;0;0;1;25;1;0;0;24;11;50000
1;0;0;0;1;0;1;0;1;18;10;29000
0;1;0;0;1;9;0;0;1;12;12;80000
1;0;0;0;1;9;0;0;0;27;8;84300
0;0;0;0;1;0;0;0;1;49;9;29200
0;0;0;0;0;0;1;1;1;4;17;62500
1;0;0;1;0;4;0;1;1;24;16;62500
0;0;0;0;0;0;0;1;0;3;11;51100
0;0;0;0;0;0;0;1;1;2;10;40000
1;0;0;0;1;121;1;0;0;29;8;44400
1;0;0;0;1;441;0;0;0;34;13;68800
1;1;0;0;1;9;1;0;0;10;14;54300
0;0;0;1;1;0;0;0;1;5;13;30000
0;0;0;0;1;0;1;0;1;2;11;29000
1;1;0;0;1;441;1;0;0;39;7;62500
0;1;0;1;1;4;0;0;1;5;16;43400
1;0;0;0;1;4;0;0;1;14;12;32500
0;0;0;0;1;4;1;0;0;8;13;72600
1;0;0;0;1;1;0;0;1;10;14;63500
1;0;0;0;0;4;1;0;0;2;16;56300
1;0;0;0;0;9;0;0;0;9;14;87500
0;0;0;0;0;0;1;0;0;1;11;32000
1;0;0;0;0;1;0;0;1;45;8;30000
1;0;0;1;0;9;0;0;1;33;14;30000
1;0;0;0;0;324;0;0;0;21;17;125000
0;0;0;0;0;0;1;0;1;2;10;28800
1;0;1;0;0;1;1;0;0;9;12;33500
1;0;1;0;0;4;0;0;0;33;12;65000
1;1;1;1;0;4;0;0;0;16;18;103800
1;0;1;1;0;0;0;0;0;10;14;45000
0;0;1;0;0;64;0;0;0;9;18;100000
1;0;1;0;0;1;0;0;1;8;12;38100
1;0;0;1;1;1;0;0;0;9;16;88000
1;0;0;0;1;0;0;0;1;23;14;94200
1;0;0;0;1;64;0;0;0;23;12;63300
0;1;0;0;1;324;0;0;0;22;9;40000
1;0;0;0;1;0;1;0;1;37;12;29000
1;0;0;0;1;16;1;0;0;22;12;200000
1;0;0;0;1;625;0;0;0;28;17;112500
0;1;0;0;1;0;0;0;1;14;12;35000
1;0;0;1;1;16;0;0;1;19;15;60000
1;1;0;0;1;81;0;0;0;10;17;143800
1;0;0;0;1;0;0;0;0;25;16;63600
1;0;0;0;1;0;0;0;1;21;12;35500
1;0;0;0;1;0;0;0;0;32;15;30000
1;0;0;0;1;100;1;0;0;21;16;45000
0;0;0;0;1;0;1;0;1;36;12;66300
1;0;0;0;1;4;1;0;0;2;15;93000
1;0;0;0;1;0;1;0;1;11;12;30000
0;0;1;0;0;4;1;0;1;40;12;32500
1;0;1;1;0;1;0;0;1;11;12;15000
1;0;1;0;0;49;0;0;1;9;12;59000
0;0;1;0;0;16;1;0;0;23;16;80000
0;0;1;0;0;0;1;0;1;1;11;29000
0;0;1;0;0;169;1;0;0;30;14;32900
1;0;1;0;0;1089;1;0;0;41;14;65000
0;0;1;0;0;0;0;0;1;6;13;40000
1;0;1;0;0;0;1;0;0;11;14;60000
1;0;1;1;0;289;0;0;1;43;12;40800
1;0;1;0;0;4;0;0;1;39;12;37500
0;0;0;0;1;576;0;0;1;50;8;30500
1;0;0;0;1;400;0;0;1;26;12;35000
0;1;0;0;1;900;0;0;0;51;3;29200
0;0;0;0;1;81;0;0;0;3;11;45000
1;0;0;0;1;1;0;0;1;3;15;33500
1;1;0;0;1;81;0;0;0;15;11;59500
1;0;0;0;1;36;1;0;0;17;12;80000
1;0;0;0;1;0;0;0;0;36;4;30000
1;1;0;0;1;81;0;0;0;31;9;50000
1;0;0;0;1;16;1;0;0;9;12;55000
1;0;0;0;0;100;0;1;1;42;12;26500
0;0;0;0;0;0;1;1;1;3;11;30000
1;0;0;1;0;196;0;1;1;37;12;45000
1;0;0;0;0;484;1;1;0;23;16;175000
0;0;0;0;0;25;1;1;0;21;13;81800
1;0;0;0;0;144;0;1;0;11;15;90900
1;0;0;0;0;169;0;1;0;35;16;118200
1;0;0;0;0;0;1;1;1;42;12;32500
0;0;0;0;0;0;0;1;0;3;12;45000
1;0;0;0;0;0;0;1;0;13;12;45000
1;0;0;0;1;49;0;0;0;14;9;37100
1;0;0;0;1;121;1;0;0;14;10;65000
1;0;0;1;1;1;0;0;1;39;12;29000
1;0;0;0;1;64;0;0;0;11;11;56000
1;0;0;1;1;9;0;0;0;28;8;22300
1;0;0;0;0;0;1;1;1;18;6;50000
1;0;0;0;0;4;0;1;0;6;16;83300
0;0;0;0;1;1;1;0;1;26;12;29000
1;0;0;0;1;36;1;0;0;21;12;62500
1;0;0;1;1;4;0;0;0;34;16;45500
0;0;0;1;1;4;0;0;1;17;12;32800
0;0;1;0;0;0;1;0;1;2;10;23000
0;0;1;1;0;0;0;0;1;5;13;33000
0;0;1;0;0;0;0;0;1;1;13;31500
1;0;1;0;0;900;0;0;0;40;14;125000
0;0;0;1;0;441;0;1;1;39;16;51500
0;0;0;0;0;1;1;1;0;1;10;31300
1;0;0;0;0;25;0;1;0;14;12;72500
0;0;0;1;0;4;0;1;1;2;12;29000
0;0;0;0;0;1;1;1;0;2;11;17500
1;0;0;0;0;0;0;1;1;42;0;28900
1;0;0;0;0;0;0;1;1;34;5;29000
1;0;0;0;0;9;0;1;0;10;16;177100
1;0;0;0;0;9;0;1;0;4;16;62500
0;0;0;0;0;0;1;1;0;4;9;26000
1;0;0;1;0;9;0;1;1;21;15;66300
0;1;0;0;0;9;0;1;1;31;12;35000
1;0;0;0;0;196;1;1;0;20;12;65000
0;1;0;0;0;1;0;1;1;36;12;30000
1;1;0;0;0;0;0;1;0;7;13;43800
0;0;0;0;0;0;0;0;0;15;12;100000
1;0;0;0;0;289;0;0;0;25;7;49500
1;0;0;1;0;0;0;0;1;7;17;90000
1;0;0;0;0;0;1;0;1;17;12;14300
0;0;0;1;0;1;0;0;0;3;12;30800
1;0;0;1;0;121;0;0;0;12;14;93300
1;0;0;0;0;25;1;1;0;18;12;75000
1;0;0;0;0;1;1;1;0;47;13;47500
0;0;0;0;0;0;0;1;0;2;12;56500
1;0;0;1;0;4;0;1;1;14;16;150000
0;0;0;0;0;0;1;1;1;2;10;22700
1;0;0;0;0;324;0;1;0;13;15;46700
1;0;0;0;0;1;0;1;0;5;16;115600
0;1;0;1;0;16;0;1;1;5;14;35000
